LAT,LON,X,Y,L,W,D,SLIP,RAKE,STRIKE,DIP
38.9412,141.8336,-54.2584,65.5902,25,20,41.2262,5.277,63.8148,194,10.21
38.7233,141.7621,-60.4883,41.3789,25,20,41.2262,11.2564,67.1395,194,10.21
38.5054,141.6906,-66.7182,17.1676,25,20,41.2262,10.4851,75.4583,194,10.21
38.2875,141.6191,-72.9481,-7.0438,25,20,41.2262,3.2443,77.2011,194,10.21
38.0696,141.5476,-79.178,-31.2551,25,20,41.2262,3.9458,101.5528,194,10.21
37.8517,141.4761,-85.408,-55.4664,25,20,41.2262,6.6472,80.5079,194,10.21
37.6339,141.4046,-91.6379,-79.6777,25,20,41.2262,2.5612,112.0513,194,10.21
37.416,141.3331,-97.8678,-103.8891,25,20,41.2262,4.6106,126.422,194,10.21
37.1981,141.2616,-104.0977,-128.1004,25,20,41.2262,2.0994,52.6366,194,10.21
36.9802,141.1902,-110.3276,-152.3117,25,20,41.2262,1.3966,58.2602,194,10.21
36.7623,141.1187,-116.5576,-176.523,25,20,41.2262,1.357,87.5734,194,10.21
36.5444,141.0472,-122.7875,-200.7343,25,20,41.2262,3.3457,115.2674,194,10.21
36.3266,140.9757,-129.0174,-224.9457,25,20,41.2262,0.2161,115.813,194,10.21
36.1087,140.9042,-135.2473,-249.157,25,20,41.2262,0.2355,51.9514,194,10.21
35.8908,140.8327,-141.4772,-273.3683,25,20,41.2262,2.9986,53.2251,194,10.21
35.6729,140.7612,-147.7072,-297.5796,25,20,41.2262,2.6281,120.9685,194,10.21
40.9463,142.2582,-17.2514,288.3971,25,20,44.7714,2.622,56.8332,194,10.21
40.7284,142.1868,-23.4813,264.1858,25,20,44.7714,6.3046,73.4763,194,10.21
40.5105,142.1153,-29.7113,239.9745,25,20,44.7714,7.5784,62.627,194,10.21
40.2926,142.0438,-35.9412,215.7631,25,20,44.7714,9.5793,65.3097,194,10.21
40.0747,141.9723,-42.1711,191.5518,25,20,44.7714,4.4591,69.8214,194,10.21
39.8568,141.9008,-48.401,167.3405,25,20,44.7714,0.0545,74.3744,194,10.21
39.639,141.8293,-54.6309,143.1292,25,20,44.7714,1.2614,112.5063,194,10.21
39.4211,141.7578,-60.8609,118.9179,25,20,44.7714,6.2534,63.8283,194,10.21
39.2032,141.6863,-67.0908,94.7065,25,20,44.7714,1.445,105.9465,194,10.21
